A1_10,V1_20,E1_30,A2_30,V2_20,E2_10,A3_20,V3_20,E3_20,Skill
6,9,13,23,0,5,8,6,10,A
2,3,25,8,3,2,2,9,12,E
8,17,7,5,15,5,13,11,9,V
7,20,14,4,11,3,7,3,19,E
2,14,10,23,7,10,2,6,17,E
7,13,12,9,4,3,6,20,18,V
5,20,16,23,3,1,18,15,3,A
5,14,19,17,0,3,4,5,18,E
6,10,29,24,3,8,20,1,17,E
0,12,30,14,9,3,20,16,0,V
0,1,5,5,18,1,18,15,3,V
0,0,21,19,1,5,4,17,5,E
8,20,1,18,14,3,18,12,1,A
4,9,6,21,14,10,17,11,9,A
7,8,16,1,0,9,16,15,11,E
2,5,27,4,0,5,14,14,3,E
8,20,5,4,2,5,8,2,18,E
6,7,26,25,9,8,7,15,2,A
2,13,23,12,6,10,10,0,12,E
9,11,28,9,9,9,14,0,10,E
10,1,19,12,13,3,15,1,8,A
6,18,10,14,15,3,17,3,2,A
9,9,24,2,16,2,6,10,13,V
8,14,1,0,0,3,5,3,6,A
7,3,23,20,20,1,18,19,10,A
7,8,14,11,3,7,1,2,0,E
0,12,1,5,5,6,19,14,2,V
5,4,18,24,8,7,2,15,20,E
9,10,10,26,2,8,8,18,6,A
9,4,20,17,6,1,6,8,14,A
1,13,23,30,9,7,7,6,11,E
5,17,14,22,2,9,8,12,13,E
1,19,23,4,0,9,0,7,5,E
0,6,2,15,15,4,8,0,20,E
8,14,18,14,16,10,4,7,12,E
6,17,28,14,0,7,8,6,2,E
8,6,25,22,18,10,1,0,15,E
3,18,19,8,1,10,11,15,13,E
3,3,23,21,15,5,18,9,12,A
6,12,20,16,0,5,19,0,8,A
4,20,27,18,15,0,8,0,4,V
1,3,18,24,10,8,1,16,10,E
10,18,29,18,9,0,7,12,17,A
6,0,12,2,12,3,17,0,12,A
7,4,17,1,9,5,17,5,0,A
1,4,10,15,15,0,7,19,7,V
0,19,17,12,4,7,8,13,16,E
8,14,12,17,0,5,19,8,9,A
2,3,5,23,9,7,9,2,14,E
2,12,20,3,17,9,5,4,1,V
5,11,10,25,5,2,13,17,16,A
4,15,18,3,20,2,17,9,0,V
7,18,29,0,20,9,2,7,16,E
4,3,18,8,15,9,7,6,16,E
9,10,23,3,15,1,18,18,9,V
5,8,7,12,9,7,11,7,19,E
9,16,17,15,4,8,11,10,12,E
5,14,4,15,17,4,13,20,13,V
3,18,15,22,3,7,19,8,17,E
8,17,8,14,6,7,19,5,7,A
8,1,19,6,9,8,15,6,12,E
7,11,20,5,9,1,10,18,12,V
0,20,24,17,20,9,8,15,3,V
1,3,13,13,9,3,10,0,5,A
10,5,26,27,0,5,14,11,17,A
9,3,16,13,13,2,6,15,13,A
5,13,11,6,11,3,1,8,18,V
8,3,10,8,1,7,4,5,14,E
6,1,8,6,11,10,7,0,6,E
6,11,15,22,12,1,18,7,13,A
6,7,12,12,7,6,14,16,18,E
6,1,7,1,16,5,11,19,13,V
6,14,8,9,19,7,15,20,15,V
5,0,28,1,17,10,19,8,2,E
4,0,15,12,20,1,1,5,0,V
7,18,20,2,12,4,15,7,2,V
10,16,9,26,1,10,1,14,20,E
8,6,20,0,5,10,6,17,9,E
2,7,23,2,4,2,16,6,8,E
5,10,24,13,15,0,3,3,20,E
4,8,7,17,17,4,7,15,13,V
10,18,16,18,1,10,19,8,2,A
10,13,2,1,4,8,12,7,9,A
2,13,9,10,9,8,0,8,13,E
9,2,26,6,9,4,10,10,20,E
6,11,3,17,10,9,6,18,11,V
10,18,7,8,1,1,7,15,17,V
1,1,30,10,5,8,17,7,14,E
10,3,0,21,12,5,0,4,12,A
4,2,15,21,2,7,17,11,3,A
10,8,22,16,20,10,5,4,4,E
7,4,17,3,4,5,14,11,2,A
3,6,7,7,13,5,0,8,12,V
9,7,23,17,9,9,3,7,14,E
6,18,2,5,4,6,13,9,20,E
7,18,9,21,4,10,4,7,6,A
5,3,26,14,10,7,11,7,6,E
5,0,19,9,5,0,12,17,16,E
4,13,30,27,15,2,11,8,8,A
1,8,8,7,18,6,6,10,17,V
5,5,12,25,7,6,11,4,10,A
5,18,1,27,20,7,0,1,18,V
5,9,1,12,5,3,4,19,3,V
3,0,2,6,12,0,16,20,14,V
7,11,24,17,13,8,9,1,17,E
7,7,18,7,11,4,17,8,6,A
5,13,25,7,19,6,0,1,7,E
0,20,0,4,19,0,12,7,16,V
1,12,13,26,16,1,9,2,3,V
8,6,3,19,6,0,15,15,20,A
10,14,2,2,13,10,11,15,19,V
5,20,29,26,5,3,9,20,8,V
0,12,7,10,19,4,1,16,14,V
9,19,30,13,16,7,2,14,1,V
9,8,30,2,6,2,18,16,10,A
5,12,5,20,5,7,16,0,1,A
1,0,7,11,18,0,15,3,17,A
8,16,7,10,2,1,19,9,2,A
8,15,4,7,19,8,0,16,4,V
5,20,7,6,14,5,17,6,2,V
3,8,10,21,19,8,11,15,12,V
4,14,21,30,12,10,5,2,14,E
8,12,1,4,10,4,10,17,6,V
1,20,28,9,16,3,16,6,15,V
1,1,10,17,19,3,6,11,3,V
7,15,15,12,13,7,11,11,15,V
3,13,29,30,4,2,5,11,8,E
8,15,12,19,18,6,4,2,15,V
5,19,30,26,18,0,16,0,13,A
4,7,5,23,14,6,18,6,3,A
9,9,30,20,5,2,0,12,0,A
3,12,0,12,12,8,19,9,13,A
5,11,12,17,13,3,1,4,8,V
8,8,22,23,5,5,3,14,16,E
8,11,19,30,15,5,8,10,8,A
4,13,29,16,13,7,18,1,7,E
7,6,9,29,3,5,8,18,3,A
3,16,5,15,8,10,9,15,0,V
5,5,18,27,6,9,20,7,13,A
6,16,14,11,2,1,9,12,0,V
4,19,17,11,8,10,1,7,9,E
7,3,16,4,18,2,16,17,16,V
0,5,5,29,17,1,5,17,19,V
5,4,30,25,20,10,1,9,8,E
9,10,1,24,3,3,6,7,18,A
8,7,14,13,18,1,9,19,12,V
6,1,12,19,15,3,2,17,18,V
9,11,16,16,14,1,2,11,20,V
5,18,22,18,10,5,10,7,2,V
5,14,13,25,16,1,16,6,18,A
6,17,13,14,10,6,12,8,5,V
4,8,25,4,0,6,1,0,6,E
0,16,24,18,4,5,11,14,0,V
9,7,23,22,20,10,1,19,2,V
10,15,26,11,1,6,11,4,17,E
1,1,15,23,13,4,5,11,20,E
4,2,20,20,11,1,8,20,17,V
2,12,23,7,0,2,18,18,3,V
2,1,8,10,16,6,1,2,13,E
0,12,26,1,19,7,13,17,0,V
7,4,4,29,9,3,7,0,4,A
0,0,15,13,9,2,15,2,4,A
5,14,15,27,1,2,18,14,4,A
0,9,30,8,17,6,10,12,0,V
4,13,7,28,4,2,11,16,13,A
1,4,6,12,18,0,4,11,16,V
7,18,29,11,15,8,20,12,12,E
1,4,14,19,19,8,6,4,3,E
5,13,19,0,20,7,19,5,11,V
4,20,13,28,1,8,3,15,19,E
3,5,24,29,9,3,12,13,1,A
5,5,23,14,13,3,7,18,4,V
6,18,23,9,10,5,18,0,18,E
7,3,3,11,14,1,14,0,8,A
10,15,23,7,3,3,7,17,8,V
3,2,9,28,11,2,19,15,12,A
10,5,28,22,7,10,17,8,8,A
10,20,22,30,15,1,13,11,10,A
6,1,14,24,6,9,0,6,20,E
10,11,7,0,10,5,10,14,9,V
8,11,3,18,1,2,10,9,3,A
10,18,20,20,11,3,15,2,20,A
1,13,13,25,8,5,1,12,12,V
2,8,4,4,18,0,9,18,12,V
3,3,16,24,20,2,14,13,1,A
5,1,24,4,6,5,18,20,2,A
5,0,27,15,14,2,12,1,8,A
2,14,16,19,7,7,0,7,13,E
7,18,16,13,17,3,19,7,4,V
3,0,6,22,18,5,2,19,19,V
4,17,25,27,16,8,19,18,3,V
6,7,30,11,4,8,8,5,14,E
1,9,10,2,5,10,3,19,3,V
9,14,21,15,8,10,14,20,7,V
3,6,30,21,8,4,5,11,14,E
3,17,6,17,11,8,9,16,10,V
0,20,6,22,19,5,15,7,13,V
3,6,12,1,0,10,1,15,5,E
6,19,17,21,12,10,20,14,11,A
8,2,6,25,7,2,19,4,19,A
9,8,0,2,8,6,17,19,20,A
10,1,1,19,19,9,13,0,13,A
9,4,22,29,17,0,12,9,11,A
2,16,16,21,20,9,9,17,15,V
0,19,27,3,1,4,9,14,9,E
4,17,28,9,5,7,7,7,16,E
1,19,25,24,18,4,3,14,0,V
0,14,16,10,11,3,6,15,20,V
8,6,11,25,12,7,8,13,12,A
8,9,8,24,0,5,7,12,11,A
3,11,3,6,0,5,3,19,13,V
3,4,2,23,16,4,6,13,15,V
1,17,18,8,19,9,12,11,2,V
0,1,27,14,12,2,1,17,17,E
2,17,19,9,14,9,18,4,8,E
7,9,10,28,13,7,6,18,12,V
10,0,19,22,8,7,20,7,9,A
0,6,9,20,18,9,14,5,13,E
2,4,19,25,9,3,12,12,4,A
3,2,6,8,11,10,19,0,14,E
7,14,18,12,6,0,11,12,6,A
10,18,17,14,3,4,19,16,14,A
0,1,14,26,5,9,17,8,10,E
7,3,21,19,8,5,1,6,16,E
7,3,25,13,3,5,4,17,4,E
8,4,18,3,4,8,0,13,10,E
6,20,10,4,19,5,11,2,4,V
2,0,11,26,5,2,14,10,12,A
10,13,28,26,7,8,15,3,0,A
6,16,3,3,5,5,0,5,16,E
5,7,2,30,2,0,16,15,2,A
6,17,25,29,9,6,3,19,16,V
1,18,10,2,8,0,0,0,16,V
5,11,2,11,2,3,20,10,9,A
9,8,23,18,9,3,1,15,4,V
4,17,22,10,2,4,18,17,2,V
1,15,23,1,19,10,7,20,14,V
6,19,12,11,17,9,17,3,2,V
0,15,18,17,4,10,8,9,17,E
3,15,12,6,5,0,1,8,1,V
9,6,24,10,14,0,6,12,14,V
6,19,13,27,11,7,10,11,18,V
9,14,17,16,16,8,6,17,4,V
9,14,15,12,2,9,6,9,9,E
4,9,30,8,7,9,5,12,11,E
10,9,27,27,6,0,20,19,3,A
4,5,24,30,1,0,3,18,6,A
2,20,5,6,11,10,4,15,18,V
10,17,22,14,11,7,3,10,2,V
5,8,0,21,10,5,15,9,5,A
1,0,29,26,15,10,8,4,10,E
7,11,9,3,15,1,14,1,20,A
10,4,17,16,0,3,10,12,18,A
10,13,8,8,6,3,12,15,0,A
8,13,26,1,17,1,12,0,19,E
2,19,0,23,11,6,5,15,4,V
3,19,29,22,9,8,20,19,19,E
5,18,29,2,14,8,13,10,19,E
2,14,18,28,11,7,9,15,12,V
1,6,28,25,14,0,19,13,15,A
4,11,0,29,20,0,10,1,9,A
10,7,7,13,1,6,10,9,7,A
3,9,12,19,8,9,16,15,11,E
10,3,26,30,2,9,14,16,12,A
7,18,16,6,13,9,9,17,13,V
9,3,9,7,6,6,14,7,5,A
7,4,24,22,7,1,6,10,18,E
4,19,28,19,3,5,18,17,15,E
9,11,4,24,8,0,17,2,15,A
8,18,28,14,9,5,4,2,0,A
6,2,27,4,18,5,15,5,10,E
6,17,0,10,14,4,5,13,4,V
4,17,19,6,8,9,0,15,18,E
1,5,14,4,9,2,14,6,8,E
6,17,0,14,9,8,10,11,8,V
2,13,0,12,19,9,6,7,9,V
5,10,0,20,16,5,19,8,20,A
4,5,9,3,16,3,14,5,10,V
2,12,22,13,18,4,16,17,8,V
3,16,11,17,7,9,6,2,15,E
0,20,8,7,6,3,4,11,9,V
6,6,10,12,15,9,15,9,5,A
7,15,16,29,7,7,4,14,20,E
1,12,15,5,5,4,12,1,6,E
6,10,23,27,0,4,0,11,10,E
1,1,17,10,19,9,4,16,7,E
1,17,4,28,18,7,17,20,1,V
8,14,27,22,1,8,7,7,15,E
6,14,8,22,5,3,20,5,3,A
8,14,23,11,16,6,17,20,11,V
4,8,8,4,2,6,1,5,10,E
7,7,30,26,13,2,10,3,13,A
5,0,30,27,5,2,11,14,18,E
9,11,20,17,12,4,17,19,10,A
4,16,22,3,1,1,13,0,14,E
1,12,3,12,20,3,3,17,1,V
1,1,25,25,13,7,18,9,20,E
6,0,27,22,12,6,14,16,1,A
2,13,1,20,6,1,3,2,4,V
9,5,29,13,18,3,1,14,5,V
0,14,27,20,16,3,11,3,16,E
2,10,23,29,20,10,14,15,6,V
5,19,8,16,6,4,20,0,16,A
6,19,6,25,4,8,6,4,6,A
8,16,29,1,10,4,13,20,17,V
4,17,30,25,14,8,7,1,18,E
2,8,17,16,16,10,7,8,9,E
0,17,14,11,2,3,6,16,17,V
7,0,11,2,12,0,6,20,17,V
8,5,26,26,11,7,6,4,10,E
4,4,14,6,20,10,0,19,15,E
5,12,27,24,2,7,20,13,1,A
4,6,29,23,19,4,18,6,12,A
9,15,26,0,12,6,10,1,3,E
7,0,14,12,16,5,10,4,20,E
3,0,28,11,8,5,18,14,14,E
5,6,5,2,8,6,3,6,13,E
1,17,22,28,12,7,10,20,10,V
5,17,20,4,17,1,16,8,12,V
8,20,28,10,4,6,10,3,3,E
3,9,2,7,10,4,5,19,14,V
3,9,12,10,17,0,17,2,1,A
4,14,28,15,18,10,0,13,20,E
1,2,15,26,16,5,0,4,10,E
7,2,10,27,17,0,19,14,15,A
8,20,23,11,13,0,20,18,13,V
6,18,2,16,10,4,6,9,20,V
2,17,12,26,9,5,9,12,15,V
2,8,30,1,20,6,17,2,6,E
9,5,15,28,8,1,8,4,12,A
6,2,28,9,12,10,16,9,19,E
4,1,7,26,2,9,7,0,1,A
5,0,0,13,6,3,7,3,6,A
5,0,5,17,0,10,13,20,16,E
5,2,28,12,18,1,1,5,12,E
4,12,23,6,15,2,0,3,4,V
1,3,29,27,10,5,1,1,5,E
6,0,26,1,8,2,14,19,0,V
1,17,11,10,14,9,12,18,20,V
1,5,2,13,12,9,4,5,2,V
9,14,13,23,9,5,20,13,9,A
1,10,30,3,10,5,8,4,13,E
8,5,4,23,20,3,20,3,12,A
8,13,28,25,19,0,5,1,13,A
10,18,12,25,1,8,8,5,7,A
1,1,19,8,16,8,13,18,1,V
8,7,10,23,6,10,6,20,16,E
2,8,28,9,3,10,6,5,20,E
9,3,13,18,12,0,1,14,18,A
4,16,19,1,16,7,7,10,16,E
3,20,20,7,3,10,17,19,1,V
6,0,22,3,19,9,9,12,3,E
8,7,29,28,13,0,18,13,16,A
6,9,22,15,3,4,15,20,15,E
9,17,6,19,14,7,17,9,9,A
2,1,24,27,18,2,18,8,19,A
7,15,8,4,17,9,2,18,0,V
10,20,30,0,3,8,1,20,4,V
7,18,30,1,5,10,0,0,9,E
4,12,10,0,12,6,19,3,10,E
4,9,6,28,9,7,18,14,15,A
2,15,1,29,7,9,18,9,3,A
10,9,28,0,3,4,18,7,13,E
8,12,11,6,20,5,7,7,6,V
9,14,21,10,16,3,10,14,2,V
8,15,13,10,13,4,15,19,3,V
5,8,0,13,4,8,6,0,4,A
5,8,4,13,19,3,14,20,6,V
1,16,8,21,6,6,6,0,10,E
8,15,25,23,4,8,15,10,19,E
5,13,10,6,16,2,16,10,2,V
8,10,19,6,5,10,4,11,20,E
7,15,14,2,17,2,0,3,20,V
1,12,21,0,17,5,18,8,18,E
0,10,19,30,12,6,11,10,8,E
9,20,24,23,1,6,4,18,8,V
3,1,30,12,9,2,14,2,0,A
5,8,3,11,12,5,6,0,5,A
6,1,10,9,13,4,2,12,0,V
10,9,10,28,11,8,11,11,9,A
9,10,11,22,17,8,15,5,17,A
6,1,1,9,11,10,16,12,14,E
9,6,20,18,13,3,3,1,18,E
3,1,16,1,7,10,20,20,19,E
6,3,8,6,8,7,20,9,15,A
9,1,2,16,16,3,10,13,9,A
4,3,18,6,14,6,7,13,12,E
6,12,22,10,18,10,4,17,0,V
5,19,27,18,9,7,5,15,17,E
2,18,26,1,18,7,9,10,17,E
5,18,17,28,13,1,19,19,18,V
10,15,30,22,3,9,5,6,15,E
7,7,28,4,3,6,3,8,11,E
7,2,2,9,12,3,5,4,19,E
10,9,9,21,5,4,8,2,19,A
3,20,29,3,18,3,6,7,7,V
6,9,15,10,20,6,15,4,7,A
10,6,8,2,15,10,6,5,15,E
1,8,1,24,12,3,14,0,1,A
3,10,11,11,1,9,14,7,10,E
9,20,7,22,16,3,18,13,8,A
4,17,6,0,11,4,0,13,19,V
0,4,12,26,8,8,17,17,7,A
1,16,1,16,2,4,9,19,2,V
2,12,19,7,19,4,9,16,2,V
3,12,4,13,20,3,0,18,2,V
4,10,22,18,11,8,17,6,7,E
1,13,2,22,9,4,2,1,16,E
2,2,9,12,1,7,4,12,7,E
8,3,14,30,9,7,8,12,8,A
7,1,15,18,2,0,20,19,5,A
2,2,30,10,20,10,9,3,2,E
2,0,17,17,14,6,14,6,2,A
6,3,12,10,11,2,7,0,6,A
7,18,17,17,13,2,17,15,5,V
2,9,5,26,19,2,4,11,6,V
1,7,7,9,3,2,18,15,4,A
10,10,19,28,11,10,9,14,8,A
7,14,7,1,3,3,12,14,10,V
5,12,5,4,11,0,7,11,7,V
10,6,29,23,17,3,20,6,1,A
4,19,2,18,18,8,6,15,20,V
0,8,12,28,14,8,4,4,1,V
7,0,3,30,14,0,5,20,1,A
7,16,4,2,11,7,18,16,8,V
10,13,1,26,6,1,17,1,6,A
7,14,7,28,19,5,11,11,1,V
4,10,7,4,2,10,16,6,2,A
6,9,21,25,6,8,10,14,17,E
7,16,14,18,0,3,13,20,1,A
1,13,24,15,5,0,2,20,13,V
7,17,6,24,3,2,11,2,13,A
2,19,14,2,5,6,13,8,6,V
8,18,19,21,2,7,16,6,11,A
10,10,17,1,8,0,3,9,5,V
6,13,22,0,7,10,7,20,17,E
1,14,1,10,16,10,11,5,12,V
3,8,9,19,16,8,10,12,1,V
2,4,26,30,19,4,12,14,20,E
8,2,12,3,15,5,20,0,19,A
8,18,5,19,15,10,9,11,19,V
2,20,6,12,15,0,20,6,2,V
4,11,1,23,7,2,1,8,8,V
4,15,21,13,0,1,15,7,0,A
9,3,14,14,7,8,15,12,5,A
4,12,21,28,12,7,11,5,11,E
1,17,12,22,14,1,14,12,17,V
7,18,28,23,17,7,6,5,15,E
2,13,16,20,3,9,20,19,3,A
6,17,19,3,0,2,14,1,19,E
10,16,30,29,20,9,7,9,10,E
4,5,12,9,6,1,19,3,6,A
5,4,14,16,19,6,4,8,16,E
1,16,21,7,1,4,16,3,0,A
4,10,4,18,19,2,15,3,1,A
6,5,22,8,8,0,7,16,0,V
3,15,22,28,18,2,3,3,10,V
10,17,3,0,11,9,14,2,10,A
4,16,27,29,14,3,15,17,14,V
0,2,5,9,8,2,16,1,6,A
5,18,10,15,14,8,2,20,7,V
6,16,2,0,3,6,18,8,5,A
4,13,29,15,5,2,7,17,19,E
10,15,19,5,13,4,5,7,0,V
3,13,9,8,20,1,20,7,18,V
7,8,7,8,2,3,7,4,6,A
3,18,18,10,18,3,9,20,20,V
0,6,2,19,8,10,18,14,6,A
0,6,18,30,12,2,9,2,5,A
10,1,24,18,7,8,5,8,9,E
0,16,10,5,16,5,15,19,9,V
3,7,12,9,8,8,19,6,10,E
4,12,1,3,14,1,5,8,13,V
7,11,0,0,5,10,12,19,11,V
2,20,22,18,16,0,13,15,5,V
6,20,24,5,17,10,0,20,13,V
1,18,30,2,7,8,5,16,1,V
3,0,8,28,6,2,8,7,12,A
5,14,12,12,4,0,18,3,18,A
10,6,5,14,12,8,4,6,15,E
2,16,23,11,11,7,1,17,3,V
2,18,15,18,1,7,18,12,18,E
7,2,29,16,12,1,2,1,18,E
10,15,10,16,9,8,3,19,0,V
7,6,17,30,1,5,15,7,1,A
7,0,8,25,4,6,10,17,6,A
9,17,18,0,19,1,6,20,7,V
7,16,13,12,15,1,11,16,2,V
4,2,18,11,10,2,6,14,0,V
6,8,13,4,7,2,12,7,1,A
1,1,4,17,14,7,18,0,11,A
3,19,2,27,14,7,2,17,17,V
9,14,5,14,8,0,3,8,15,A
4,18,17,25,9,7,6,9,19,E
8,10,11,27,9,1,4,4,0,A
5,0,13,9,11,0,9,19,12,V
4,17,11,20,19,10,5,11,8,V
1,6,2,23,4,7,2,14,19,E
1,8,9,29,18,4,18,19,19,V
5,3,19,12,4,3,13,19,9,A
